,index,n_trial,rt,stim_selected,correct_stim,correct,feedback,feedback_congruent,correct_count,trial_till_correct,reversal,block_no,participant_no,timed_out,block_type,time_taken,criteria
24,0,25.0,1006.0,1,0,False,correct,False,0.0,3.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
25,0,26.0,810.0,1,0,False,incorrect,True,0.0,4.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
26,0,27.0,679.0,0,0,True,correct,True,1.0,5.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
27,0,28.0,1136.0,0,0,True,correct,True,2.0,6.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
28,0,29.0,895.0,1,0,False,correct,False,0.0,7.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
29,0,30.0,2653.0,1,0,False,correct,False,0.0,8.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
30,0,31.0,998.0,1,0,False,incorrect,True,0.0,9.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
31,0,32.0,620.0,0,0,True,incorrect,False,1.0,10.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
32,0,33.0,729.0,1,0,False,incorrect,True,0.0,11.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
33,0,34.0,433.0,0,0,True,correct,True,1.0,12.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
34,0,35.0,1050.0,0,0,True,incorrect,False,2.0,13.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
35,0,36.0,1010.0,1,0,False,incorrect,True,0.0,14.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
36,0,37.0,1581.0,1,0,False,incorrect,True,0.0,15.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
37,0,38.0,564.0,0,0,True,correct,True,1.0,16.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
38,0,39.0,1652.0,0,0,True,correct,True,2.0,17.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
39,0,40.0,634.0,0,0,True,correct,True,3.0,18.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
40,0,41.0,1366.0,1,0,False,incorrect,True,0.0,19.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
41,0,42.0,680.0,0,0,True,correct,True,1.0,20.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
42,0,43.0,523.0,0,0,True,incorrect,False,2.0,21.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
43,0,44.0,485.0,1,0,False,incorrect,True,0.0,22.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
